tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(75, 26)	(68, 46)
toggle button	Mode selection	Mode selection			(169, 26)	(87, 46)
toggle button	Primary menu	Primary menu			(262, 26)	(36, 46)
push button	=	=		Calculate Result	(354, 410)	(64, 92)
push button	%	%		Percentage [%]	(218, 458)	(64, 44)
push button	)	)		End Group [)]	(218, 266)	(64, 44)
push button	(	(		Start Group [(]	(150, 266)	(64, 44)
push button				Clear Display [Escape]	(82, 266)	(64, 44)
push button	Exponent	Exponent		Square [Ctrl+2]	(354, 362)	(64, 44)
push button	√	√		Root [Ctrl+R]	(354, 314)	(64, 44)
push button	π	π		Pi [Ctrl+P]	(354, 266)	(64, 44)
push button	+	+		Add [+]	(286, 458)	(64, 44)
push button	−	−		Subtract [-]	(286, 410)	(64, 44)
push button	×	×		Multiply [*]	(286, 362)	(64, 44)
push button	3	3			(218, 410)	(64, 44)
push button	,	,			(150, 458)	(64, 44)
push button	0	0			(82, 458)	(64, 44)
push button	2	2			(150, 410)	(64, 44)
push button	1	1			(82, 410)	(64, 44)
push button	÷	÷		Divide [/]	(286, 314)	(64, 44)
push button	mod	mod		Modulus divide	(286, 266)	(64, 44)
push button	6	6			(218, 362)	(64, 44)
push button	5	5			(150, 362)	(64, 44)
push button	9	9			(218, 314)	(64, 44)
push button	8	8			(150, 314)	(64, 44)
push button	7	7			(82, 314)	(64, 44)
push button	4	4			(82, 362)	(64, 44)
text					(70, 232)	(360, 21)
