tag	name	text	class	description	position (top-left x&y)	size (w&h)
push button	Undo	Undo		Undo [Ctrl+Z]	(76, 27)	(70, 46)
toggle button	Mode selection	Mode selection			(172, 27)	(83, 46)
toggle button	Primary menu	Primary menu			(261, 27)	(36, 46)
push button	=	=		Calculate Result	(354, 412)	(64, 92)
push button	%	%		Percentage [%]	(218, 460)	(64, 44)
push button	)	)		End Group [)]	(218, 268)	(64, 44)
push button	(	(		Start Group [(]	(150, 268)	(64, 44)
push button				Clear Display [Escape]	(82, 268)	(64, 44)
push button	Exponent	Exponent		Square [Ctrl+2]	(354, 364)	(64, 44)
push button	√	√		Root [Ctrl+R]	(354, 316)	(64, 44)
push button	π	π		Pi [Ctrl+P]	(354, 268)	(64, 44)
push button	+	+		Add [+]	(286, 460)	(64, 44)
push button	−	−		Subtract [-]	(286, 412)	(64, 44)
push button	×	×		Multiply [*]	(286, 364)	(64, 44)
push button	3	3			(218, 412)	(64, 44)
push button	,	,			(150, 460)	(64, 44)
push button	0	0			(82, 460)	(64, 44)
push button	2	2			(150, 412)	(64, 44)
push button	1	1			(82, 412)	(64, 44)
push button	÷	÷		Divide [/]	(286, 316)	(64, 44)
push button	mod	mod		Modulus divide	(286, 268)	(64, 44)
push button	6	6			(218, 364)	(64, 44)
push button	5	5			(150, 364)	(64, 44)
push button	9	9			(218, 316)	(64, 44)
push button	8	8			(150, 316)	(64, 44)
push button	7	7			(82, 316)	(64, 44)
push button	4	4			(82, 364)	(64, 44)
text					(70, 234)	(360, 21)
